name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,procs,strategy
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1776779,394.8727585049101,394.86622815780964,ns,3,Least Frequently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1779040,393.428007243759,393.42023731900287,ns,3,Least Frequently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1783734,394.7139074501426,394.4959708117905,ns,3,Least Frequently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1780333,394.90080787063766,394.6893435104585,ns,3,Least Frequently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1778163,395.28421522790507,395.2771759394389,ns,3,Least Frequently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1773563,396.8324209493843,396.8321863954158,ns,3,Least Frequently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,3174,688164.6550119348,688154.9870825431,ns,3,Least Frequently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2700,632304.6485259612,632293.5692592614,ns,3,Least Frequently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1000,648035.3809893131,648029.9970000089,ns,3,Least Frequently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,161,4358489.198866156,4358393.062111747,ns,3,Least Frequently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,16,43097889.87484353,43096988.4375001,ns,3,Least Frequently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,2,431231959.50465745,431231792.0000055,ns,3,Least Frequently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1526563,460.29644502891716,460.2937337011345,ns,3,Least Frequently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,186064,3790.8904677697133,3790.774642058665,ns,3,Least Frequently Used
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,19359,36205.05661518334,36191.34294126751,ns,3,Least Frequently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1952,358253.30430315423,358100.33350409556,ns,3,Least Frequently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,196,3565841.112244276,3565787.770408221,ns,3,Least Frequently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,20,35713652.000413276,35712647.75000031,ns,3,Least Frequently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,214874,3254.3338933655577,3253.039530143227,ns,3,Least Frequently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6827,102683.4041313397,102680.18060641523,ns,3,Least Frequently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,437,1598434.9840137367,1597802.4302059633,ns,3,Least Frequently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,24163157.06896371,24152926.37931004,ns,3,Least Frequently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,296036936.5027873,296033391.9999982,ns,3,Least Frequently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3538073514.0061007,3537979559.9999967,ns,3,Least Frequently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10492564,66.70737943330808,66.6781763732872,ns,3,Pseudo-Least Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10500159,66.67225886962838,66.67161982975684,ns,3,Pseudo-Least Recently Used
